,date,Username,text,Tweet Link,Retweets,Likes,TweetImageUrl,Image,clean_text,accounts_mentioned,hashtags
4693,2013-11-26 07:48:00,https://twitter.com/BarackObama,In Kentucky the long-uninsured are signing up for health insurance on the new marketplace. http://OFA.BO/9RK8YR  #Obamacare,https://twitter.com/BarackObama/status/405362310853566464,378,382,,,In Kentucky the long-uninsured are signing up for health insurance on the new marketplace.,[],['Obamacare']
4692,2013-11-26 09:48:00,https://twitter.com/BarackObama,"President Obama to @fast4families: ""We're with you. The whole country hears you."" #immigration",https://twitter.com/BarackObama/status/405392662871552000,462,418,,,"President Obama to : ""We're with you. The whole country hears you.""",['fast4families'],['immigration']
4691,2013-11-26 10:50:00,https://twitter.com/BarackObama,Good news: Enrollment in the new marketplace keeps growing in New York.http://OFA.BO/yGPsaM ,https://twitter.com/BarackObama/status/405408325862309889,277,331,,,Good news: Enrollment in the new marketplace keeps growing in New York.,[],[]
4690,2013-11-26 11:37:00,https://twitter.com/BarackObama,Here are some #Obamacare success stories you haven't been hearing about: http://OFA.BO/JcNt3X ,https://twitter.com/BarackObama/status/405419957938163712,514,401,,,Here are some success stories you haven't been hearing about:,[],['Obamacare']
4689,2013-11-26 12:51:00,https://twitter.com/BarackObama,LIVE: President Obama is speaking at @DWAnimation about growing the economy and strengthening the middle class. http://OFA.BO/ATvhXf ,https://twitter.com/BarackObama/status/405438612331720705,172,216,,,LIVE: President Obama is speaking at about growing the economy and strengthening the middle class.,['DWAnimation'],[]
4688,2013-11-26 12:54:00,https://twitter.com/BarackObama,My ears were one of the inspirations for Shrek. —President Obama at @DWAnimation,https://twitter.com/BarackObama/status/405439438852853760,1399,1361,,,My ears were one of the inspirations for Shrek. —President Obama at,['DWAnimation'],[]
4687,2013-11-26 13:04:00,https://twitter.com/BarackObama,In the global race for jobs and industries the thing we do better than anybody else is creativity. —President Obama,https://twitter.com/BarackObama/status/405442069507760129,574,499,,,In the global race for jobs and industries the thing we do better than anybody else is creativity. —President Obama,[],[]
4686,2013-11-26 13:10:00,https://twitter.com/BarackObama,Thanks to the Affordable Care Act health care costs are growing at the slowest rate in fifty years. —President Obama #Obamacare,https://twitter.com/BarackObama/status/405443480853282817,449,450,,,Thanks to the Affordable Care Act health care costs are growing at the slowest rate in fifty years. —President Obama,[],['Obamacare']
4685,2013-11-26 13:17:00,https://twitter.com/BarackObama,We can bring the promise of a safe retirement back into reach for middle class families. —President Obama,https://twitter.com/BarackObama/status/405445313709604864,488,543,,,We can bring the promise of a safe retirement back into reach for middle class families. —President Obama,[],[]
4684,2013-11-26 13:22:00,https://twitter.com/BarackObama,I believe our daughters should have the same opportunities as our sons. —President Obama,https://twitter.com/BarackObama/status/405446568527937537,4314,3786,,,I believe our daughters should have the same opportunities as our sons. —President Obama,[],[]
4683,2013-11-26 14:15:00,https://twitter.com/BarackObama,We need leaders on #immigration. Will one of these five representatives will push the House to act? #ActOnReformpic.twitter.com/tcnxHMhrex,https://twitter.com/BarackObama/status/405459767339909121,657,555,https://pbs.twimg.com/media/BaB7gpuCAAAvsKv.png,,We need leaders on . Will one of these five representatives will push the House to act? .twitter.com/tcnxHMhrex,[],"['immigration', 'ActOnReformpic']"
4682,2013-11-27 07:13:00,https://twitter.com/BarackObama,For entrepreneurs and founders of startups #Obamacare is a business opportunity:http://OFA.BO/wDuqKq ,https://twitter.com/BarackObama/status/405715989280460801,368,376,,,For entrepreneurs and founders of startups is a business opportunity:,[],['Obamacare']
4681,2013-11-27 08:54:00,https://twitter.com/BarackObama,More than 76000 people have already signed up for coverage through New York’s health insurance marketplace: http://OFA.BO/XPxWx3 ,https://twitter.com/BarackObama/status/405741309438091265,348,348,,,More than 76000 people have already signed up for coverage through New York’s health insurance marketplace:,[],[]
4680,2013-11-27 10:28:00,https://twitter.com/BarackObama,Parents: Turkey isn't the only thing to talk about at Thanksgiving this year. #GetTalkingpic.twitter.com/f3mpGL3f9U,https://twitter.com/BarackObama/status/405765118492811264,605,589,https://pbs.twimg.com/media/BaGRObZCIAA8-Z1.png,,Parents: Turkey isn't the only thing to talk about at Thanksgiving this year. .twitter.com/f3mpGL3f9U,[],['GetTalkingpic']
4679,2013-11-27 11:34:00,https://twitter.com/BarackObama,Seniors and people with disabilities on Medicare saved $8.9 billion on prescription drugs—thanks to #Obamacare: http://OFA.BO/C8Zw6C ,https://twitter.com/BarackObama/status/405781752146194432,455,420,,,Seniors and people with disabilities on Medicare saved $8.9 billion on prescription drugs—thanks to :,[],['Obamacare']
4678,2013-11-27 13:04:00,https://twitter.com/BarackObama,Make sure everyone who sits down with you for #Thanksgivukkah dinner is covered. #GetTalkingpic.twitter.com/EWZ3qUpEI1,https://twitter.com/BarackObama/status/405804300753829888,887,924,https://pbs.twimg.com/media/BaG03ItCAAAJVUQ.png,,Make sure everyone who sits down with you for dinner is covered. .twitter.com/EWZ3qUpEI1,[],"['Thanksgivukkah', 'GetTalkingpic']"
4677,2013-11-28 07:40:00,https://twitter.com/BarackObama,On behalf of the Obama family I want to wish everybody a very happy Thanksgiving. —President Obama,https://twitter.com/BarackObama/status/406085146291347457,2486,3534,,,On behalf of the Obama family I want to wish everybody a very happy Thanksgiving. —President Obama,[],[]
4676,2013-11-29 09:08:00,https://twitter.com/BarackObama,"Nothing says ""I love you"" like helping someone #GetCovered: http://OFA.BO/mdWDFG ",https://twitter.com/BarackObama/status/406469779705192448,780,650,,,"Nothing says ""I love you"" like helping someone :",[],['GetCovered']
4675,2013-11-29 10:58:00,https://twitter.com/BarackObama,Turkey. Candles. Health insurance. Make your holiday weekend count: http://OFA.BO/JEfBSW ,https://twitter.com/BarackObama/status/406497396764311552,397,450,,,Turkey. Candles. Health insurance. Make your holiday weekend count:,[],[]
4674,2013-11-30 12:30:00,https://twitter.com/BarackObama,Today is #SmallBizSat—remember to shop at your local small business to support all they do for the community.,https://twitter.com/BarackObama/status/406882841302024192,1145,795,,,Today is —remember to shop at your local small business to support all they do for the community.,[],['SmallBizSat']
4673,2013-12-01 08:36:00,https://twitter.com/BarackObama,This holiday weekend is a great time for a conversation over leftovers: http://OFA.BO/1Koyy1 ,https://twitter.com/BarackObama/status/407186536354938880,309,442,,,This holiday weekend is a great time for a conversation over leftovers:,[],[]
